"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Clothes and gifts","Dollars","81","thousands","3","v1139468665","3.1.3","1596","B","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Food and beverage","Dollars","81","thousands","3","v1139468990","3.1.4","2787","B","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Recreation and entertainment","Dollars","81","thousands","3","v1139469315","3.1.5","2892","D","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Transportation","Dollars","81","thousands","3","v1139469640","3.1.6","1933","D","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Other types of expenditures","Dollars","81","thousands","3","v1139469965","3.1.7","796","B","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Total expenditures","Dollars","81","thousands","3","v1139468040","3.2.1","2661","D","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Accommodation","Dollars","81","thousands","3","v1139468365","3.2.2","1186","E","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Clothes and gifts","Dollars","81","thousands","3","v1139468690","3.2.3","136","C","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Food and beverage","Dollars","81","thousands","3","v1139469015","3.2.4","593","D","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Recreation and entertainment","Dollars","81","thousands","3","v1139469340","3.2.5","175","D","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Transportation","Dollars","81","thousands","3","v1139469665","3.2.6","482","E","","","0"
"2018-01","Prince Edward Island","2016A000211","United States residents","Other types of expenditures","Dollars","81","thousands","3","v1139469990","3.2.7","88","D","","","0"
"2018-01","Prince Edward Island","2016A000211","Overseas residents","Total expenditures","Dollars","81","thousands","3","v1139468065","3.3.1","11719","B","","","0"
"2018-01","Prince Edward Island","2016A000211","Overseas residents","Accommodation","Dollars","81","thousands","3","v1139468390","3.3.2","3190","B","","","0"
